ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS
ACB,2015,3,192996908000000,3200128000000,4766892000000,8055620000000,444697000000,447473000000,-2776000000,31061000000,129482253000000,131021258000000,-1539005000000,34773494000000,8566082000000,27269561000000,-1062149000000,733163000000,1607000000,741846000000,-10290000000,2479978000000,2053163000000,426815000000,8384000000,9021238000000,192996908000000,180381873000000,0,4455178000000,169247540000000,0,171478000000,3000000000000,3507677000000,12615035000000,8711240000000,2207666000000,3177000000,1692952000000,9376965000000,0
ACB,2015,2,189496375000000,2631978000000,2279345000000,5109669000000,991860000000,994606000000,-2746000000,16045000000,126813608000000,128353351000000,-1539743000000,39683473000000,19444891000000,21074621000000,-836039000000,739460000000,1607000000,747930000000,-10077000000,2550047000000,2114412000000,435635000000,8474000000,8672416000000,189496375000000,177153921000000,0,7855906000000,162408375000000,0,165599000000,3013000000000,3711041000000,12342454000000,8711240000000,2207666000000,12539000000,1411009000000,9376965000000,0
ACB,2015,1,187311237000000,2598743000000,5317249000000,3973911000000,2451428000000,2476450000000,-25022000000,4919000000,117524968000000,119200874000000,-1675906000000,42217474000000,25644273000000,17069507000000,-496306000000,884425000000,1607000000,927930000000,-45112000000,2559810000000,2122640000000,437170000000,8564000000,9769746000000,187311237000000,174631371000000,199681000000,10870605000000,156733708000000,0,172489000000,3078000000000,3576888000000,12679866000000,8711240000000,2207666000000,2450000000,1758510000000,9376965000000,0
ACB,2014,4,179609771000000,2496287000000,3357730000000,4559007000000,1105122000000,1108232000000,-3110000000,14403000000,114745251000000,116324055000000,-1578804000000,39676852000000,23683261000000,16386318000000,-392727000000,886568000000,1607000000,948030000000,-63069000000,2804555000000,2384923000000,419632000000,8654000000,9955342000000,179609771000000,167212468000000,0,6145238000000,154613588000000,0,188155000000,3078000000000,3187487000000,12397303000000,8711841000000,2207666000000,0,1477796000000,9376965000000,0
ACB,2014,3,179381374000000,2365114000000,1304900000000,6133165000000,1641837000000,1643570000000,-1733000000,17298000000,111268690000000,113163118000000,-1894428000000,42857409000000,15087555000000,28104627000000,-334773000000,903163000000,1578000000,972780000000,-71195000000,2639078000000,2292957000000,346121000000,8745000000,10241975000000,179381374000000,166873974000000,0,10034007000000,150182864000000,0,335219000000,3000000000000,3321884000000,12507400000000,8920769000000,2039910000000,15501000000,1531220000000,9376965000000,0
ACB,2014,2,177294676000000,2369171000000,2251783000000,8451262000000,2437773000000,2454338000000,-16565000000,9513000000,108810216000000,110751759000000,-1941543000000,38994956000000,10600809000000,28747455000000,-353308000000,937320000000,1578000000,1009334000000,-73592000000,2667352000000,2315499000000,351853000000,9015000000,10356315000000,177294676000000,165022482000000,0,11375646000000,147173237000000,0,344284000000,3300000000000,2829315000000,12272194000000,8920769000000,2039910000000,44489000000,1267026000000,9376965000000,0
ACB,2014,1,173390522000000,2257901000000,3077563000000,7267026000000,2395869000000,2426022000000,-30153000000,11506000000,105250187000000,106910379000000,-1660192000000,38767898000000,9599608000000,29394741000000,-226451000000,928397000000,1578000000,1009334000000,-82515000000,2506809000000,2235857000000,270952000000,9015000000,10918351000000,173390522000000,160628787000000,0,9198469000000,144409345000000,0,361792000000,3600000000000,3059181000000,12761735000000,9112716000000,2032658000000,15747000000,1600614000000,9376965000000,0
ACB,2013,4,166737706000000,2043490000000,3065322000000,7215518000000,1436444000000,1663592000000,-227148000000,150000000,105642038000000,107190021000000,-1547983000000,33482828000000,7232001000000,26502417000000,-251590000000,922976000000,1578000000,1009334000000,-87936000000,2552768000000,2279114000000,273654000000,0,10376172000000,166737706000000,154235538000000,1583146000000,7793776000000,138110836000000,0,363345000000,3500000000000,2884435000000,12502168000000,9117544000000,2034331000000,0,1350293000000,9376965000000,0
ACB,2013,3,160477468000000,2701543000000,1936786000000,9932272000000,1144071000000,1387229000000,-243158000000,6795000000,102699889000000,104457272000000,-1757383000000,29492465000000,5798625000000,23978509000000,-284669000000,1101641000000,1576000000,1179205000000,-79140000000,1710467000000,1619470000000,90997000000,0,9751539000000,160477468000000,147666497000000,0,7077005000000,133674054000000,0,324472000000,3300000000000,3290966000000,12810971000000,9117544000000,1903269000000,6837000000,1783321000000,9376965000000,0
ACB,2013,2,168793839000000,2762881000000,2218649000000,12838471000000,1029276000000,1258889000000,-229613000000,3987000000,108786829000000,110477427000000,-1690598000000,27783829000000,7445564000000,20656071000000,-317806000000,1098401000000,1576000000,1193322000000,-96497000000,1612510000000,1561841000000,50669000000,0,10659006000000,168793839000000,156359059000000,0,7140823000000,141994173000000,0,296226000000,3400000000000,3527837000000,12434780000000,9148761000000,1911998000000,-8476000000,1382497000000,9376965000000,0
ACB,2013,1,175909974000000,5806521000000,2091513000000,17601408000000,937382000000,1176713000000,-239331000000,981000000,105467202000000,107139670000000,-1672468000000,28132195000000,8130323000000,20299769000000,-297897000000,1414477000000,1576000000,1462954000000,-50053000000,1677570000000,1643170000000,34400000000,0,12780725000000,175909974000000,162986200000000,0,11176110000000,135305348000000,0,296040000000,12689408000000,3519294000000,12923774000000,9376965000000,2567911000000,6745000000,972153000000,9376965000000,0
ACB,2008,3,110665578000000,7484047000000,6157310000000,28539669000000,0,0,0,0,36497471000000,36743117000000,-245646000000,15281787000000,13281787000000,2000000000000,0,673657000000,673657000000,0,0,697936000000,697936000000,0,0,15333701000000,110665578000000,103319229000000,0,5617304000000,64044505000000,0,318837000000,17882417000000,15456166000000,7346349000000,2630060000000,3576351000000,-64363000000,1204301000000,2630060000000,0
